,Academic Year,University,Level of study,Employment Situation,Occupation,No. of graduates
2549,2015/16,Hong Kong Baptist University,Undergraduate,Unemployed,Not in Full-time Employment,16
2918,2016/17,Hong Kong Baptist University,Research postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2919,2016/17,Hong Kong Baptist University,Research postgraduate,FT employment,Business Professionals,1
2920,2016/17,Hong Kong Baptist University,Research postgraduate,FT employment,Managers,1
2921,2016/17,Hong Kong Baptist University,Research postgraduate,FT employment,Occupations not elsewhere classified,1
2922,2016/17,Hong Kong Baptist University,Research postgraduate,FT employment,Other Professionals and Technical Workers,1
2923,2016/17,Hong Kong Baptist University,Research postgraduate,FT employment,Teaching Profession,16
2924,2016/17,Hong Kong Baptist University,Research postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
2925,2016/17,Hong Kong Baptist University,Research postgraduate,Others,Not in Full-time Employment,25
2926,2016/17,Hong Kong Baptist University,Research postgraduate,Underemployed,Not in Full-time Employment,4
2927,2016/17,Hong Kong Baptist University,Taught postgraduate,FT employment,Business Professionals,1
2928,2016/17,Hong Kong Baptist University,Taught postgraduate,FT employment,Teaching Profession,6
2929,2016/17,Hong Kong Baptist University,Taught postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,2
2930,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Accountants and Auditors,65
2931,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Aircraft and Ship Officers,1
2932,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Artists,61
2933,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,"Authors, Journalists and Related Writers",136
2934,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Business Professionals,420
2935,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Clerical and Related Workers,26
2936,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",2
2937,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Engineering Technicians,5
2938,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Engineers,5
2939,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Government Officials (General Grades),3
2940,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",16
2941,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Legal Workers,3
2942,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Managers,19
2943,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Medical and Health Workers,37
2944,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Occupations not elsewhere classified,6
2945,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Other Professionals and Technical Workers,79
2946,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Other Service Workers,12
2947,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Science Technicians,13
2948,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Scientists,12
2949,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Protective Service Workers,9
2950,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Religious Workers,1
2951,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Sales/Service Workers,35
2952,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,System Analysts and Computer Programmers,51
2953,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Teaching Profession,255
2954,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Workers not reporting any occupation,48
2955,2016/17,Hong Kong Baptist University,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,16
2956,2016/17,Hong Kong Baptist University,Undergraduate,Further studies,Not in Full-time Employment,242
2957,2016/17,Hong Kong Baptist University,Undergraduate,Others,Not in Full-time Employment,78
2958,2016/17,Hong Kong Baptist University,Undergraduate,Underemployed,Not in Full-time Employment,74
2959,2016/17,Hong Kong Baptist University,Undergraduate,Unemployed,Not in Full-time Employment,17
3333,2017/18,Hong Kong Baptist University,Research postgraduate,FT employment,Accountants and Auditors,1
3334,2017/18,Hong Kong Baptist University,Research postgraduate,FT employment,"Authors, Journalists and Related Writers",2
3335,2017/18,Hong Kong Baptist University,Research postgraduate,FT employment,Clerical and Related Workers,1
3336,2017/18,Hong Kong Baptist University,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",1
3337,2017/18,Hong Kong Baptist University,Research postgraduate,FT employment,Government Officials (General Grades),1
3338,2017/18,Hong Kong Baptist University,Research postgraduate,FT employment,Managers,1
3339,2017/18,Hong Kong Baptist University,Research postgraduate,FT employment,Physical and Life Scientists,1
3340,2017/18,Hong Kong Baptist University,Research postgraduate,FT employment,System Analysts and Computer Programmers,1
3341,2017/18,Hong Kong Baptist University,Research postgraduate,FT employment,Teaching Profession,12
3342,2017/18,Hong Kong Baptist University,Research postgraduate,FT employment,Workers not reporting any occupation,6
3343,2017/18,Hong Kong Baptist University,Research postgraduate,Further studies,Not in Full-time Employment,4
3344,2017/18,Hong Kong Baptist University,Research postgraduate,Others,Not in Full-time Employment,23
3345,2017/18,Hong Kong Baptist University,Research postgraduate,Underemployed,Not in Full-time Employment,3
3346,2017/18,Hong Kong Baptist University,Research postgraduate,Unemployed,Not in Full-time Employment,1
3347,2017/18,Hong Kong Baptist University,Taught postgraduate,FT employment,Workers not reporting any occupation,6
3348,2017/18,Hong Kong Baptist University,Taught postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
3349,2017/18,Hong Kong Baptist University,Taught postgraduate,Further studies,Not in Full-time Employment,2
3350,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Accountants and Auditors,61
3351,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Aircraft and Ship Officers,1
3352,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Architects and Surveyors,1
3353,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Artists,48
3354,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,"Authors, Journalists and Related Writers",110
3355,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Business Professionals,275
3356,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Clerical and Related Workers,31
3357,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",3
3358,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Engineering Technicians,4
3359,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Engineers,7
3360,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Government Officials (General Grades),3
3361,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",16
3362,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Legal Workers,3
3363,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Managers,14
3364,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Medical and Health Workers,30
3365,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Occupations not elsewhere classified,2
3366,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Other Professionals and Technical Workers,50
3367,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Other Service Workers,14
3368,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Science Technicians,15
3369,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Scientists,6
3370,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Production and Related Workers,1
3371,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Protective Service Workers,6
3372,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Sales/Service Workers,34
3373,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,System Analysts and Computer Programmers,48
3374,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Teaching Profession,158
3375,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Workers not reporting any occupation,341
3376,2017/18,Hong Kong Baptist University,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,6
3377,2017/18,Hong Kong Baptist University,Undergraduate,Further studies,Not in Full-time Employment,218
3378,2017/18,Hong Kong Baptist University,Undergraduate,Others,Not in Full-time Employment,86
3379,2017/18,Hong Kong Baptist University,Undergraduate,Underemployed,Not in Full-time Employment,65
3380,2017/18,Hong Kong Baptist University,Undergraduate,Unemployed,Not in Full-time Employment,16
