學年,大學,修課程度,就業情況,職業,畢業生人數
2010/11,嶺南大學,硏究院硏究課程,全職就業,作家、新聞記者及相關作家,1
2010/11,嶺南大學,硏究院硏究課程,全職就業,系統分析員和電腦程序員,1
2010/11,嶺南大學,硏究院硏究課程,全職就業,會計師及核數師,1
2010/11,嶺南大學,硏究院硏究課程,全職就業,敎學專業,4
2010/11,嶺南大學,硏究院硏究課程,其他,非全職就業,2
2010/11,嶺南大學,硏究院硏究課程,就業不足,非全職就業,2
2011/12,香港大學,學士學位課程,升學,非全職就業,549
2011/12,香港大學,學士學位課程,失業,非全職就業,9
2011/12,香港大學,學士學位課程,全職就業,工程技術人員,19
2011/12,香港大學,學士學位課程,全職就業,工程師,180
2011/12,香港大學,學士學位課程,全職就業,文書及相關人員,28
2011/12,香港大學,學士學位課程,全職就業,未有提供資料,296
2011/12,香港大學,學士學位課程,全職就業,作家、新聞記者及相關作家,49
2011/12,香港大學,學士學位課程,全職就業,系統分析員和電腦程序員,68
2011/12,香港大學,學士學位課程,全職就業,其他服務工作人員,7
2011/12,香港大學,學士學位課程,全職就業,其他專業人員和技術工人,59
2011/12,香港大學,學士學位課程,全職就業,宗教工作者,1
2011/12,香港大學,學士學位課程,全職就業,法律工作者,10
2011/12,香港大學,學士學位課程,全職就業,物理和生命科學技術員,16
2011/12,香港大學,學士學位課程,全職就業,物理和生命科學家,18
2011/12,香港大學,學士學位課程,全職就業,保險、房地產及商業服務,23
2011/12,香港大學,學士學位課程,全職就業,保護服務工作者,11
2011/12,香港大學,學士學位課程,全職就業,建築師和測量師,76
2011/12,香港大學,學士學位課程,全職就業,政府官員（一般職系）,49
2011/12,香港大學,學士學位課程,全職就業,飛機和船舶人員,2
2011/12,香港大學,學士學位課程,全職就業,商務專業人員,424
2011/12,香港大學,學士學位課程,全職就業,會計師及核數師,121
2011/12,香港大學,學士學位課程,全職就業,經理,42
2011/12,香港大學,學士學位課程,全職就業,經濟學家、統計學家和數學家,47
2011/12,香港大學,學士學位課程,全職就業,農業和漁業工人,1
2011/12,香港大學,學士學位課程,全職就業,銷售／服務人員,25
2011/12,香港大學,學士學位課程,全職就業,醫療和衞生工作者,344
2011/12,香港大學,學士學位課程,全職就業,藝術家,3
2011/12,香港大學,學士學位課程,全職就業,敎學專業,175
2011/12,香港大學,學士學位課程,其他,非全職就業,29
2011/12,香港大學,學士學位課程,就業不足,非全職就業,101
2011/12,香港大學,硏究院修課課程,升學,非全職就業,12
2011/12,香港大學,硏究院修課課程,失業,非全職就業,1
2011/12,香港大學,硏究院修課課程,全職就業,文書及相關人員,1
2011/12,香港大學,硏究院修課課程,全職就業,未有提供資料,60
2011/12,香港大學,硏究院修課課程,全職就業,作家、新聞記者及相關作家,2
2011/12,香港大學,硏究院修課課程,全職就業,其他專業人員和技術工人,12
2011/12,香港大學,硏究院修課課程,全職就業,法律工作者,71
2011/12,香港大學,硏究院修課課程,全職就業,建築師和測量師,62
2011/12,香港大學,硏究院修課課程,全職就業,政府官員（一般職系）,3
2011/12,香港大學,硏究院修課課程,全職就業,商務專業人員,4
2011/12,香港大學,硏究院修課課程,全職就業,經理,1
2011/12,香港大學,硏究院修課課程,全職就業,醫療和衞生工作者,24
2011/12,香港大學,硏究院修課課程,全職就業,敎學專業,86
2011/12,香港大學,硏究院修課課程,其他,非全職就業,5
2011/12,香港大學,硏究院修課課程,就業不足,非全職就業,6
2011/12,香港大學,硏究院硏究課程,升學,非全職就業,54
2011/12,香港大學,硏究院硏究課程,失業,非全職就業,7
2011/12,香港大學,硏究院硏究課程,全職就業,工程技術人員,1
2011/12,香港大學,硏究院硏究課程,全職就業,工程師,24
2011/12,香港大學,硏究院硏究課程,全職就業,文書及相關人員,2
2011/12,香港大學,硏究院硏究課程,全職就業,未有提供資料,51
2011/12,香港大學,硏究院硏究課程,全職就業,作家、新聞記者及相關作家,1
2011/12,香港大學,硏究院硏究課程,全職就業,系統分析員和電腦程序員,10
2011/12,香港大學,硏究院硏究課程,全職就業,其他專業人員和技術工人,1
2011/12,香港大學,硏究院硏究課程,全職就業,物理和生命科學技術員,17
2011/12,香港大學,硏究院硏究課程,全職就業,物理和生命科學家,11
2011/12,香港大學,硏究院硏究課程,全職就業,保險、房地產及商業服務,3
2011/12,香港大學,硏究院硏究課程,全職就業,保護服務工作者,2
2011/12,香港大學,硏究院硏究課程,全職就業,建築師和測量師,2
2011/12,香港大學,硏究院硏究課程,全職就業,政府官員（一般職系）,1
2011/12,香港大學,硏究院硏究課程,全職就業,商務專業人員,24
2011/12,香港大學,硏究院硏究課程,全職就業,經理,4
2011/12,香港大學,硏究院硏究課程,全職就業,經濟學家、統計學家和數學家,7
2011/12,香港大學,硏究院硏究課程,全職就業,醫療和衞生工作者,11
2011/12,香港大學,硏究院硏究課程,全職就業,敎學專業,129
2011/12,香港大學,硏究院硏究課程,其他,非全職就業,18
2011/12,香港大學,硏究院硏究課程,就業不足,非全職就業,15
2011/12,香港中文大學,學士學位課程,升學,非全職就業,463
2011/12,香港中文大學,學士學位課程,失業,非全職就業,59
2011/12,香港中文大學,學士學位課程,全職就業,工程技術人員,15
2011/12,香港中文大學,學士學位課程,全職就業,工程師,49
2011/12,香港中文大學,學士學位課程,全職就業,不在上述分類,3
2011/12,香港中文大學,學士學位課程,全職就業,文書及相關人員,48
2011/12,香港中文大學,學士學位課程,全職就業,未有提供資料,8
2011/12,香港中文大學,學士學位課程,全職就業,生產及有關工人,5
2011/12,香港中文大學,學士學位課程,全職就業,作家、新聞記者及相關作家,142
2011/12,香港中文大學,學士學位課程,全職就業,系統分析員和電腦程序員,150
2011/12,香港中文大學,學士學位課程,全職就業,其他服務工作人員,5
2011/12,香港中文大學,學士學位課程,全職就業,其他專業人員和技術工人,66
2011/12,香港中文大學,學士學位課程,全職就業,宗教工作者,2
2011/12,香港中文大學,學士學位課程,全職就業,法律工作者,11
2011/12,香港中文大學,學士學位課程,全職就業,物理和生命科學技術員,19
2011/12,香港中文大學,學士學位課程,全職就業,物理和生命科學家,20
2011/12,香港中文大學,學士學位課程,全職就業,保險、房地產及商業服務,33
2011/12,香港中文大學,學士學位課程,全職就業,保護服務工作者,15
2011/12,香港中文大學,學士學位課程,全職就業,建築師和測量師,43
2011/12,香港中文大學,學士學位課程,全職就業,政府官員（一般職系）,45
2011/12,香港中文大學,學士學位課程,全職就業,政府官員和外交官,3
2011/12,香港中文大學,學士學位課程,全職就業,飛機和船舶人員,4
2011/12,香港中文大學,學士學位課程,全職就業,商務專業人員,575
2011/12,香港中文大學,學士學位課程,全職就業,會計師及核數師,164
2011/12,香港中文大學,學士學位課程,全職就業,經理,21
2011/12,香港中文大學,學士學位課程,全職就業,經濟學家、統計學家和數學家,43
2011/12,香港中文大學,學士學位課程,全職就業,資料不全以致未能分類,1
2011/12,香港中文大學,學士學位課程,全職就業,農業和漁業工人,1
2011/12,香港中文大學,學士學位課程,全職就業,銷售／服務人員,30
2011/12,香港中文大學,學士學位課程,全職就業,醫療和衞生工作者,338
2011/12,香港中文大學,學士學位課程,全職就業,藝術家,13
2011/12,香港中文大學,學士學位課程,全職就業,敎學專業,237
2011/12,香港中文大學,學士學位課程,其他,非全職就業,57
2011/12,香港中文大學,學士學位課程,就業不足,非全職就業,53
2011/12,香港中文大學,硏究院修課課程,升學,非全職就業,4
2011/12,香港中文大學,硏究院修課課程,失業,非全職就業,3
2011/12,香港中文大學,硏究院修課課程,全職就業,未有提供資料,1
2011/12,香港中文大學,硏究院修課課程,全職就業,作家、新聞記者及相關作家,2
2011/12,香港中文大學,硏究院修課課程,全職就業,系統分析員和電腦程序員,1
2011/12,香港中文大學,硏究院修課課程,全職就業,法律工作者,19
2011/12,香港中文大學,硏究院修課課程,全職就業,建築師和測量師,24
2011/12,香港中文大學,硏究院修課課程,全職就業,商務專業人員,5
2011/12,香港中文大學,硏究院修課課程,全職就業,醫療和衞生工作者,6
2011/12,香港中文大學,硏究院修課課程,全職就業,敎學專業,126
2011/12,香港中文大學,硏究院修課課程,就業不足,非全職就業,2
2011/12,香港中文大學,硏究院硏究課程,升學,非全職就業,43
2011/12,香港中文大學,硏究院硏究課程,失業,非全職就業,20
2011/12,香港中文大學,硏究院硏究課程,全職就業,工程師,9
2011/12,香港中文大學,硏究院硏究課程,全職就業,未有提供資料,3
2011/12,香港中文大學,硏究院硏究課程,全職就業,作家、新聞記者及相關作家,2
2011/12,香港中文大學,硏究院硏究課程,全職就業,系統分析員和電腦程序員,16
2011/12,香港中文大學,硏究院硏究課程,全職就業,其他專業人員和技術工人,3
2011/12,香港中文大學,硏究院硏究課程,全職就業,宗教工作者,3
2011/12,香港中文大學,硏究院硏究課程,全職就業,物理和生命科學技術員,2
2011/12,香港中文大學,硏究院硏究課程,全職就業,物理和生命科學家,7
2011/12,香港中文大學,硏究院硏究課程,全職就業,保險、房地產及商業服務,2
2011/12,香港中文大學,硏究院硏究課程,全職就業,保護服務工作者,1
2011/12,香港中文大學,硏究院硏究課程,全職就業,飛機和船舶人員,1
2011/12,香港中文大學,硏究院硏究課程,全職就業,商務專業人員,21
2011/12,香港中文大學,硏究院硏究課程,全職就業,會計師及核數師,2
2011/12,香港中文大學,硏究院硏究課程,全職就業,經理,1
2011/12,香港中文大學,硏究院硏究課程,全職就業,經濟學家、統計學家和數學家,9
2011/12,香港中文大學,硏究院硏究課程,全職就業,醫療和衞生工作者,4
2011/12,香港中文大學,硏究院硏究課程,全職就業,藝術家,3
2011/12,香港中文大學,硏究院硏究課程,全職就業,敎學專業,152
2011/12,香港中文大學,硏究院硏究課程,其他,非全職就業,43
2011/12,香港中文大學,硏究院硏究課程,就業不足,非全職就業,15
2011/12,香港城市大學,副學位課程,升學,非全職就業,168
2011/12,香港城市大學,副學位課程,失業,非全職就業,2
2011/12,香港城市大學,副學位課程,全職就業,工程技術人員,23
2011/12,香港城市大學,副學位課程,全職就業,工程師,17
2011/12,香港城市大學,副學位課程,全職就業,文書及相關人員,8
2011/12,香港城市大學,副學位課程,全職就業,作家、新聞記者及相關作家,2
2011/12,香港城市大學,副學位課程,全職就業,其他服務工作人員,2
2011/12,香港城市大學,副學位課程,全職就業,其他專業人員和技術工人,9
2011/12,香港城市大學,副學位課程,全職就業,建築師和測量師,113
2011/12,香港城市大學,副學位課程,全職就業,商務專業人員,6
2011/12,香港城市大學,副學位課程,全職就業,經濟學家、統計學家和數學家,1
2011/12,香港城市大學,副學位課程,全職就業,銷售／服務人員,4
2011/12,香港城市大學,副學位課程,全職就業,醫療和衞生工作者,1
2011/12,香港城市大學,副學位課程,全職就業,藝術家,3
2011/12,香港城市大學,副學位課程,全職就業,敎學專業,3
2011/12,香港城市大學,副學位課程,其他,非全職就業,5
2011/12,香港城市大學,副學位課程,就業不足,非全職就業,6
2011/12,香港城市大學,學士學位課程,升學,非全職就業,179
2011/12,香港城市大學,學士學位課程,失業,非全職就業,26
2011/12,香港城市大學,學士學位課程,全職就業,工程技術人員,44
2011/12,香港城市大學,學士學位課程,全職就業,工程師,183
2011/12,香港城市大學,學士學位課程,全職就業,不在上述分類,1
2011/12,香港城市大學,學士學位課程,全職就業,文書及相關人員,88
2011/12,香港城市大學,學士學位課程,全職就業,未有提供資料,2
2011/12,香港城市大學,學士學位課程,全職就業,生產及有關工人,16
2011/12,香港城市大學,學士學位課程,全職就業,作家、新聞記者及相關作家,68
2011/12,香港城市大學,學士學位課程,全職就業,系統分析員和電腦程序員,202
2011/12,香港城市大學,學士學位課程,全職就業,其他服務工作人員,11
2011/12,香港城市大學,學士學位課程,全職就業,其他專業人員和技術工人,88
2011/12,香港城市大學,學士學位課程,全職就業,法律工作者,5
2011/12,香港城市大學,學士學位課程,全職就業,物理和生命科學技術員,15
2011/12,香港城市大學,學士學位課程,全職就業,保險、房地產及商業服務,31
2011/12,香港城市大學,學士學位課程,全職就業,保護服務工作者,13
2011/12,香港城市大學,學士學位課程,全職就業,建築師和測量師,51
2011/12,香港城市大學,學士學位課程,全職就業,政府官員（一般職系）,10
2011/12,香港城市大學,學士學位課程,全職就業,飛機和船舶人員,4
2011/12,香港城市大學,學士學位課程,全職就業,商務專業人員,714
2011/12,香港城市大學,學士學位課程,全職就業,會計師及核數師,165
2011/12,香港城市大學,學士學位課程,全職就業,經理,31
2011/12,香港城市大學,學士學位課程,全職就業,經濟學家、統計學家和數學家,22
2011/12,香港城市大學,學士學位課程,全職就業,農業和漁業工人,2
2011/12,香港城市大學,學士學位課程,全職就業,銷售／服務人員,53
2011/12,香港城市大學,學士學位課程,全職就業,醫療和衞生工作者,9
2011/12,香港城市大學,學士學位課程,全職就業,藝術家,53
2011/12,香港城市大學,學士學位課程,全職就業,敎學專業,120
2011/12,香港城市大學,學士學位課程,其他,非全職就業,73
2011/12,香港城市大學,學士學位課程,就業不足,非全職就業,99
2011/12,香港城市大學,硏究院修課課程,升學,非全職就業,2
2011/12,香港城市大學,硏究院修課課程,全職就業,法律工作者,31
2011/12,香港城市大學,硏究院修課課程,全職就業,政府官員（一般職系）,1
2011/12,香港城市大學,硏究院修課課程,其他,非全職就業,1
2011/12,香港城市大學,硏究院硏究課程,升學,非全職就業,1
2011/12,香港城市大學,硏究院硏究課程,失業,非全職就業,2
2011/12,香港城市大學,硏究院硏究課程,全職就業,工程師,3
2011/12,香港城市大學,硏究院硏究課程,全職就業,系統分析員和電腦程序員,1
2011/12,香港城市大學,硏究院硏究課程,全職就業,經理,2
2011/12,香港城市大學,硏究院硏究課程,全職就業,經濟學家、統計學家和數學家,1
2011/12,香港城市大學,硏究院硏究課程,全職就業,敎學專業,25
2011/12,香港城市大學,硏究院硏究課程,其他,非全職就業,27
2011/12,香港城市大學,硏究院硏究課程,就業不足,非全職就業,2
2011/12,香港科技大學,學士學位課程,升學,非全職就業,193
2011/12,香港科技大學,學士學位課程,失業,非全職就業,44
2011/12,香港科技大學,學士學位課程,全職就業,工程技術人員,42
2011/12,香港科技大學,學士學位課程,全職就業,工程師,270
2011/12,香港科技大學,學士學位課程,全職就業,文書及相關人員,32
2011/12,香港科技大學,學士學位課程,全職就業,未有提供資料,9
2011/12,香港科技大學,學士學位課程,全職就業,生產及有關工人,8
2011/12,香港科技大學,學士學位課程,全職就業,作家、新聞記者及相關作家,6
2011/12,香港科技大學,學士學位課程,全職就業,系統分析員和電腦程序員,151
2011/12,香港科技大學,學士學位課程,全職就業,其他服務工作人員,9
2011/12,香港科技大學,學士學位課程,全職就業,其他專業人員和技術工人,4
2011/12,香港科技大學,學士學位課程,全職就業,宗教工作者,1
2011/12,香港科技大學,學士學位課程,全職就業,物理和生命科學技術員,16
2011/12,香港科技大學,學士學位課程,全職就業,物理和生命科學家,7
2011/12,香港科技大學,學士學位課程,全職就業,保險、房地產及商業服務,13
2011/12,香港科技大學,學士學位課程,全職就業,保護服務工作者,2
2011/12,香港科技大學,學士學位課程,全職就業,建築師和測量師,4
2011/12,香港科技大學,學士學位課程,全職就業,政府官員（一般職系）,10
2011/12,香港科技大學,學士學位課程,全職就業,政府官員和外交官,2
2011/12,香港科技大學,學士學位課程,全職就業,飛機和船舶人員,7
2011/12,香港科技大學,學士學位課程,全職就業,商務專業人員,358
2011/12,香港科技大學,學士學位課程,全職就業,會計師及核數師,160
2011/12,香港科技大學,學士學位課程,全職就業,經理,25
2011/12,香港科技大學,學士學位課程,全職就業,經濟學家、統計學家和數學家,10
2011/12,香港科技大學,學士學位課程,全職就業,農業和漁業工人,1
2011/12,香港科技大學,學士學位課程,全職就業,銷售／服務人員,25
2011/12,香港科技大學,學士學位課程,全職就業,醫療和衞生工作者,15
2011/12,香港科技大學,學士學位課程,全職就業,藝術家,4
2011/12,香港科技大學,學士學位課程,全職就業,敎學專業,70
2011/12,香港科技大學,學士學位課程,其他,非全職就業,36
2011/12,香港科技大學,學士學位課程,就業不足,非全職就業,48
2011/12,香港科技大學,硏究院硏究課程,升學,非全職就業,43
2011/12,香港科技大學,硏究院硏究課程,失業,非全職就業,3
2011/12,香港科技大學,硏究院硏究課程,全職就業,工程技術人員,2
2011/12,香港科技大學,硏究院硏究課程,全職就業,工程師,24
2011/12,香港科技大學,硏究院硏究課程,全職就業,未有提供資料,5
2011/12,香港科技大學,硏究院硏究課程,全職就業,系統分析員和電腦程序員,11
2011/12,香港科技大學,硏究院硏究課程,全職就業,物理和生命科學技術員,5
2011/12,香港科技大學,硏究院硏究課程,全職就業,物理和生命科學家,4
2011/12,香港科技大學,硏究院硏究課程,全職就業,建築師和測量師,1
2011/12,香港科技大學,硏究院硏究課程,全職就業,商務專業人員,7
2011/12,香港科技大學,硏究院硏究課程,全職就業,經理,2
2011/12,香港科技大學,硏究院硏究課程,全職就業,經濟學家、統計學家和數學家,3
2011/12,香港科技大學,硏究院硏究課程,全職就業,醫療和衞生工作者,1
2011/12,香港科技大學,硏究院硏究課程,全職就業,敎學專業,100
2011/12,香港科技大學,硏究院硏究課程,其他,非全職就業,48
2011/12,香港科技大學,硏究院硏究課程,就業不足,非全職就業,5
2011/12,香港浸會大學,學士學位課程,升學,非全職就業,124
2011/12,香港浸會大學,學士學位課程,失業,非全職就業,15
2011/12,香港浸會大學,學士學位課程,全職就業,工程技術人員,3
2011/12,香港浸會大學,學士學位課程,全職就業,工程師,2
2011/12,香港浸會大學,學士學位課程,全職就業,不在上述分類,3
2011/12,香港浸會大學,學士學位課程,全職就業,文書及相關人員,7
2011/12,香港浸會大學,學士學位課程,全職就業,未有提供資料,64
2011/12,香港浸會大學,學士學位課程,全職就業,生產及有關工人,2
2011/12,香港浸會大學,學士學位課程,全職就業,作家、新聞記者及相關作家,96
2011/12,香港浸會大學,學士學位課程,全職就業,系統分析員和電腦程序員,58
2011/12,香港浸會大學,學士學位課程,全職就業,其他服務工作人員,8
2011/12,香港浸會大學,學士學位課程,全職就業,其他專業人員和技術工人,82
2011/12,香港浸會大學,學士學位課程,全職就業,法律工作者,4
2011/12,香港浸會大學,學士學位課程,全職就業,物理和生命科學技術員,22
2011/12,香港浸會大學,學士學位課程,全職就業,物理和生命科學家,5
2011/12,香港浸會大學,學士學位課程,全職就業,保險、房地產及商業服務,12
2011/12,香港浸會大學,學士學位課程,全職就業,保護服務工作者,9
2011/12,香港浸會大學,學士學位課程,全職就業,建築師和測量師,1
2011/12,香港浸會大學,學士學位課程,全職就業,政府官員（一般職系）,16
2011/12,香港浸會大學,學士學位課程,全職就業,飛機和船舶人員,2
2011/12,香港浸會大學,學士學位課程,全職就業,商務專業人員,424
2011/12,香港浸會大學,學士學位課程,全職就業,會計師及核數師,66
2011/12,香港浸會大學,學士學位課程,全職就業,經理,2
2011/12,香港浸會大學,學士學位課程,全職就業,經濟學家、統計學家和數學家,3
2011/12,香港浸會大學,學士學位課程,全職就業,資料不全以致未能分類,3
2011/12,香港浸會大學,學士學位課程,全職就業,農業和漁業工人,1
2011/12,香港浸會大學,學士學位課程,全職就業,銷售／服務人員,28
2011/12,香港浸會大學,學士學位課程,全職就業,醫療和衞生工作者,34
2011/12,香港浸會大學,學士學位課程,全職就業,藝術家,47
2011/12,香港浸會大學,學士學位課程,全職就業,敎學專業,177
2011/12,香港浸會大學,學士學位課程,其他,非全職就業,57
2011/12,香港浸會大學,學士學位課程,就業不足,非全職就業,74
2011/12,香港浸會大學,硏究院修課課程,全職就業,未有提供資料,1
2011/12,香港浸會大學,硏究院修課課程,全職就業,政府官員（一般職系）,1
2011/12,香港浸會大學,硏究院修課課程,全職就業,商務專業人員,1
2011/12,香港浸會大學,硏究院修課課程,全職就業,敎學專業,20
2011/12,香港浸會大學,硏究院硏究課程,升學,非全職就業,1
2011/12,香港浸會大學,硏究院硏究課程,全職就業,未有提供資料,2
2011/12,香港浸會大學,硏究院硏究課程,全職就業,作家、新聞記者及相關作家,2
2011/12,香港浸會大學,硏究院硏究課程,全職就業,系統分析員和電腦程序員,1
2011/12,香港浸會大學,硏究院硏究課程,全職就業,宗教工作者,1
2011/12,香港浸會大學,硏究院硏究課程,全職就業,物理和生命科學技術員,5
2011/12,香港浸會大學,硏究院硏究課程,全職就業,物理和生命科學家,1
2011/12,香港浸會大學,硏究院硏究課程,全職就業,保護服務工作者,1
2011/12,香港浸會大學,硏究院硏究課程,全職就業,商務專業人員,2
2011/12,香港浸會大學,硏究院硏究課程,全職就業,經理,2
2011/12,香港浸會大學,硏究院硏究課程,全職就業,資料不全以致未能分類,1
2011/12,香港浸會大學,硏究院硏究課程,全職就業,銷售／服務人員,2
2011/12,香港浸會大學,硏究院硏究課程,全職就業,敎學專業,11
2011/12,香港浸會大學,硏究院硏究課程,其他,非全職就業,20
2011/12,香港理工大學,副學位課程,升學,非全職就業,728
2011/12,香港理工大學,副學位課程,失業,非全職就業,12
2011/12,香港理工大學,副學位課程,全職就業,工程技術人員,21
2011/12,香港理工大學,副學位課程,全職就業,工程師,46
2011/12,香港理工大學,副學位課程,全職就業,文書及相關人員,3
2011/12,香港理工大學,副學位課程,全職就業,作家、新聞記者及相關作家,3
2011/12,香港理工大學,副學位課程,全職就業,系統分析員和電腦程序員,5
2011/12,香港理工大學,副學位課程,全職就業,其他服務工作人員,14
2011/12,香港理工大學,副學位課程,全職就業,其他專業人員和技術工人,23
2011/12,香港理工大學,副學位課程,全職就業,宗教工作者,1
2011/12,香港理工大學,副學位課程,全職就業,物理和生命科學技術員,7
2011/12,香港理工大學,副學位課程,全職就業,保險、房地產及商業服務,4
2011/12,香港理工大學,副學位課程,全職就業,保護服務工作者,3
2011/12,香港理工大學,副學位課程,全職就業,建築師和測量師,54
2011/12,香港理工大學,副學位課程,全職就業,商務專業人員,68
2011/12,香港理工大學,副學位課程,全職就業,銷售／服務人員,5
2011/12,香港理工大學,副學位課程,全職就業,醫療和衞生工作者,94
2011/12,香港理工大學,副學位課程,全職就業,藝術家,31
2011/12,香港理工大學,副學位課程,全職就業,敎學專業,5
2011/12,香港理工大學,副學位課程,其他,非全職就業,3
2011/12,香港理工大學,副學位課程,就業不足,非全職就業,39
2011/12,香港理工大學,學士學位課程,升學,非全職就業,148
2011/12,香港理工大學,學士學位課程,失業,非全職就業,67
2011/12,香港理工大學,學士學位課程,全職就業,工程技術人員,14
2011/12,香港理工大學,學士學位課程,全職就業,工程師,389
2011/12,香港理工大學,學士學位課程,全職就業,文書及相關人員,13
2011/12,香港理工大學,學士學位課程,全職就業,生產及有關工人,1
2011/12,香港理工大學,學士學位課程,全職就業,作家、新聞記者及相關作家,30
2011/12,香港理工大學,學士學位課程,全職就業,系統分析員和電腦程序員,123
2011/12,香港理工大學,學士學位課程,全職就業,其他服務工作人員,86
2011/12,香港理工大學,學士學位課程,全職就業,其他專業人員和技術工人,66
2011/12,香港理工大學,學士學位課程,全職就業,物理和生命科學技術員,34
2011/12,香港理工大學,學士學位課程,全職就業,物理和生命科學家,3
2011/12,香港理工大學,學士學位課程,全職就業,保險、房地產及商業服務,45
2011/12,香港理工大學,學士學位課程,全職就業,保護服務工作者,7
2011/12,香港理工大學,學士學位課程,全職就業,建築師和測量師,103
2011/12,香港理工大學,學士學位課程,全職就業,政府官員（一般職系）,9
2011/12,香港理工大學,學士學位課程,全職就業,飛機和船舶人員,6
2011/12,香港理工大學,學士學位課程,全職就業,商務專業人員,709
2011/12,香港理工大學,學士學位課程,全職就業,會計師及核數師,169
2011/12,香港理工大學,學士學位課程,全職就業,經理,5
2011/12,香港理工大學,學士學位課程,全職就業,經濟學家、統計學家和數學家,36
2011/12,香港理工大學,學士學位課程,全職就業,銷售／服務人員,33
2011/12,香港理工大學,學士學位課程,全職就業,醫療和衞生工作者,417
2011/12,香港理工大學,學士學位課程,全職就業,藝術家,142
2011/12,香港理工大學,學士學位課程,全職就業,敎學專業,64
2011/12,香港理工大學,學士學位課程,其他,非全職就業,35
2011/12,香港理工大學,學士學位課程,就業不足,非全職就業,84
2011/12,香港理工大學,硏究院硏究課程,升學,非全職就業,10
2011/12,香港理工大學,硏究院硏究課程,失業,非全職就業,5
2011/12,香港理工大學,硏究院硏究課程,全職就業,工程師,9
2011/12,香港理工大學,硏究院硏究課程,全職就業,系統分析員和電腦程序員,5
2011/12,香港理工大學,硏究院硏究課程,全職就業,物理和生命科學家,2
2011/12,香港理工大學,硏究院硏究課程,全職就業,政府官員（一般職系）,1
2011/12,香港理工大學,硏究院硏究課程,全職就業,商務專業人員,8
2011/12,香港理工大學,硏究院硏究課程,全職就業,經理,3
2011/12,香港理工大學,硏究院硏究課程,全職就業,經濟學家、統計學家和數學家,29
2011/12,香港理工大學,硏究院硏究課程,全職就業,醫療和衞生工作者,1
2011/12,香港理工大學,硏究院硏究課程,全職就業,敎學專業,29
2011/12,香港理工大學,硏究院硏究課程,其他,非全職就業,6
2011/12,香港理工大學,硏究院硏究課程,就業不足,非全職就業,2
2011/12,香港敎育大學,副學位課程,升學,非全職就業,3
2011/12,香港敎育大學,副學位課程,全職就業,保險、房地產及商業服務,1
2011/12,香港敎育大學,副學位課程,全職就業,資料不全以致未能分類,2
2011/12,香港敎育大學,副學位課程,全職就業,敎學專業,133
2011/12,香港敎育大學,副學位課程,其他,非全職就業,1
2011/12,香港敎育大學,學士學位課程,升學,非全職就業,24
2011/12,香港敎育大學,學士學位課程,失業,非全職就業,4
2011/12,香港敎育大學,學士學位課程,全職就業,不在上述分類,3
2011/12,香港敎育大學,學士學位課程,全職就業,文書及相關人員,12
2011/12,香港敎育大學,學士學位課程,全職就業,未有提供資料,1
2011/12,香港敎育大學,學士學位課程,全職就業,作家、新聞記者及相關作家,1
2011/12,香港敎育大學,學士學位課程,全職就業,其他服務工作人員,1
2011/12,香港敎育大學,學士學位課程,全職就業,物理和生命科學技術員,1
2011/12,香港敎育大學,學士學位課程,全職就業,保險、房地產及商業服務,1
2011/12,香港敎育大學,學士學位課程,全職就業,政府官員（一般職系）,1
2011/12,香港敎育大學,學士學位課程,全職就業,商務專業人員,1
2011/12,香港敎育大學,學士學位課程,全職就業,經理,1
2011/12,香港敎育大學,學士學位課程,全職就業,資料不全以致未能分類,15
2011/12,香港敎育大學,學士學位課程,全職就業,銷售／服務人員,10
2011/12,香港敎育大學,學士學位課程,全職就業,藝術家,2
2011/12,香港敎育大學,學士學位課程,全職就業,敎學專業,429
2011/12,香港敎育大學,學士學位課程,其他,非全職就業,15
2011/12,香港敎育大學,硏究院修課課程,升學,非全職就業,2
2011/12,香港敎育大學,硏究院修課課程,失業,非全職就業,3
2011/12,香港敎育大學,硏究院修課課程,全職就業,文書及相關人員,3
2011/12,香港敎育大學,硏究院修課課程,全職就業,資料不全以致未能分類,3
2011/12,香港敎育大學,硏究院修課課程,全職就業,銷售／服務人員,1
2011/12,香港敎育大學,硏究院修課課程,全職就業,藝術家,1
2011/12,香港敎育大學,硏究院修課課程,全職就業,敎學專業,108
2011/12,香港敎育大學,硏究院修課課程,其他,非全職就業,3
2011/12,嶺南大學,學士學位課程,升學,非全職就業,66
2011/12,嶺南大學,學士學位課程,失業,非全職就業,8
2011/12,嶺南大學,學士學位課程,全職就業,文書及相關人員,3
2011/12,嶺南大學,學士學位課程,全職就業,未有提供資料,20
2011/12,嶺南大學,學士學位課程,全職就業,作家、新聞記者及相關作家,28
2011/12,嶺南大學,學士學位課程,全職就業,系統分析員和電腦程序員,1
2011/12,嶺南大學,學士學位課程,全職就業,其他服務工作人員,7
2011/12,嶺南大學,學士學位課程,全職就業,其他專業人員和技術工人,16
2011/12,嶺南大學,學士學位課程,全職就業,法律工作者,1
2011/12,嶺南大學,學士學位課程,全職就業,保險、房地產及商業服務,18
2011/12,嶺南大學,學士學位課程,全職就業,保護服務工作者,4
2011/12,嶺南大學,學士學位課程,全職就業,商務專業人員,314
2011/12,嶺南大學,學士學位課程,全職就業,會計師及核數師,59
2011/12,嶺南大學,學士學位課程,全職就業,經理,37
